"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2024","San José State","Mountain West","-5.133","80","89","65","117","11","84","42.709","44.903","47.684","35.133"
"2024","Colorado State","Mountain West","-7.622","58","101","40","70","","69","43.334","34.559","49.403","65.152"
"2024","Hawai'i","Mountain West","-11.741","107","114","86","115","","107","32.71","35.004","37.024","49.876"
"2024","Boise State","Mountain West","10.993","10","25","8","81","","14","75.687","78.889","64.483","42.529"
"2024","New Mexico","Mountain West","-10.018","109","106","106","118","","119","34.353","67.849","15.036","42.247"
"2024","Fresno State","Mountain West","-2.996","93","77","50","103","","68","48.16","39.377","59.765","37.79"
"2024","Utah State","Mountain West","-10.773","112","110","98","92","","102","26.445","42.504","21.003","45.961"
"2024","Air Force","Mountain West","-9.432","108","105","100","112","","115","29.604","30.957","41.263","34.945"
"2024","UNLV","Mountain West","5.991","36","42","18","88","","43","71.232","57.654","72.272","64.179"
"2024","Nevada","Mountain West","-8.417","121","103","108","79","","108","32.498","47.2","30.419","32.833"
"2024","Wyoming","Mountain West","-11.258","118","112","125","97","","125","27.085","22.043","41.722","50.851"
"2024","Auburn","SEC","9.659","65","29","68","22","","47","63.424","56.985","65.452","46.626"
"2024","Arkansas","SEC","8.19","42","36","61","20","","34","65.787","60.714","66.155","45.94"
"2024","Florida","SEC","11.901","24","21","47","5","","18","71.717","58.466","70.419","67.15"
"2024","Georgia","SEC","22.091","2","5","36","1","","11","82.861","79.935","73.308","59.572"
"2024","Kentucky","SEC","4.707","62","50","92","3","","54","54.684","41.39","62.472","62.769"
"2024","LSU","SEC","13.515","17","17","49","10","","20","71.849","75.763","61.497","39.011"
"2024","Missouri","SEC","12.197","19","20","51","28","","39","68.028","61.356","72.874","37.108"
"2024","Ole Miss","SEC","20.608","18","8","5","33","","2","84.235","76.596","81.866","47.73"
"2024","Oklahoma","SEC","10.943","30","26","82","4","","30","65.083","38.944","80.167","57.918"
"2024","Vanderbilt","SEC","6.463","40","39","75","8","","37","63.309","66.631","47.406","72.026"
"2024","Texas A&M","SEC","14.297","20","16","27","9","","13","76.763","68.737","71.579","64.836"
"2024","Texas","SEC","26.107","3","1","6","21","","1","88.25","73.85","92.32","35.538"
"2024","Alabama","SEC","23.933","9","4","10","16","","6","85.057","77.281","79.955","59.628"
"2024","Mississippi State","SEC","0.192","105","67","128","2","","92","42.441","55.752","32.43","52.743"
"2024","South Carolina","SEC","14.834","11","14","15","15","","10","76.206","60.762","80.864","51.02"
"2024","Tennessee","SEC","20.786","7","7","11","30","","9","83.706","67.16","87.119","52.677"
