"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2023","2559","Shippensburg","ii","Pennsylvania State Athletic","Eastern","","11","3","8","0","10","3","7","0","6","3","3","0","5","0","5","0","0","0","0","0","11","3","8","0","0","0","0","0"
"2023","2974","Shepherd","ii","Pennsylvania State Athletic","Eastern","","12","9","3","0","10","8","2","0","6","5","1","0","6","4","2","0","0","0","0","0","11","9","2","0","1","0","1","0"
"2023","2828","Shenandoah","iii","Old Dominion","","","10","5","5","0","7","3","4","0","6","3","3","0","4","2","2","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2023","2551","Shaw","ii","CIAA","Southern","","10","3","7","0","9","3","6","0","5","1","4","0","5","2","3","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2023","2553","Sewanee","iii","Southern Athletic","","","10","3","7","0","8","2","6","0","5","1","4","0","5","2","3","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2023","611","Seton Hill","ii","Pennsylvania State Athletic","Western","","11","6","5","0","10","6","4","0","5","3","2","0","6","3","3","0","0","0","0","0","11","6","5","0","0","0","0","0"
"2023","2545","SE Louisiana","fcs","Southland","","4.192723290731533","11","3","8","0","7","3","4","0","5","1","4","0","6","2","4","0","0","0","0","0","11","3","8","0","0","0","0","0"
"2023","2542","Savannah St","ii","SIAC","East","0.002325429283375424","10","2","8","0","8","1","7","0","4","1","3","0","4","0","4","0","2","1","1","0","10","2","8","0","0","0","0","0"
"2023","23","San José State","fbs","Mountain West","West","7.054976053626107","13","7","6","0","8","6","2","0","6","4","2","0","6","3","3","0","1","0","1","0","12","7","5","0","1","0","1","0"
"2023","21","San Diego State","fbs","Mountain West","West","5.639138927369647","12","4","8","0","8","2","6","0","7","3","4","0","5","1","4","0","0","0","0","0","12","4","8","0","0","0","0","0"
"2023","301","San Diego","fcs","Pioneer","","5.904876342846525","11","4","7","0","8","4","4","0","6","2","4","0","5","2","3","0","0","0","0","0","11","4","7","0","0","0","0","0"
"2023","2535","Samford","fcs","Southern","","5.204667748176611","11","6","5","0","8","4","4","0","6","4","2","0","5","2","3","0","0","0","0","0","11","6","5","0","0","0","0","0"
"2023","2534","Sam Houston","fbs","Conference USA","","3.5327273047150602","12","3","9","0","8","2","6","0","5","2","3","0","6","1","5","0","1","0","1","0","12","3","9","0","0","0","0","0"
"2023","2776","Salve Regina","iii","Commonwealth Coast","","","10","8","2","0","1","1","0","0","5","4","1","0","5","4","1","0","0","0","0","0","10","8","2","0","0","0","0","0"
"2023","2532","Salisbury","iii","New Jersey","","","10","6","4","0","6","4","2","0","4","2","2","0","6","4","2","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2023","2614","Saint Vincent","iii","Presidents'","","","10","3","7","0","10","3","7","0","5","1","4","0","5","2","3","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2023","2600","Saint John's (MN)","iii","Minnesota","","","10","8","2","0","8","7","1","0","5","5","0","0","5","3","2","0","0","0","0","0","9","7","2","0","1","1","0","0"
"2023","129","Saginaw Valley State","ii","GLIAC","","","11","6","5","0","6","3","3","0","6","4","2","0","4","1","3","0","1","1","0","0","11","6","5","0","0","0","0","0"
"2023","2529","Sacred Heart","fcs","NEC","","3.270425111766278","11","2","9","0","7","2","5","0","5","1","4","0","6","1","5","0","0","0","0","0","11","2","9","0","0","0","0","0"
"2023","16","Sacramento State","fcs","Big Sky","","7.512433443992156","13","8","5","0","8","4","4","0","5","4","1","0","8","4","4","0","0","0","0","0","11","7","4","0","2","1","1","0"
